iata,lon,iso,status,name,continent,type,lat,size
BYX,136.23334,AU,1,Baniyala Airport,OC,airport,-13.2,small
COB,130.93333,AU,1,Coolibah Airport,OC,airport,-15.55,small
CQP,147.5,AU,1,Cape Flattery Airport,OC,airport,-18.2,small
CRJ,132.3,AU,1,Coorabie Airport,OC,airport,-31.9,small
CRY,128.61667,AU,1,Carlton Hill Airport,OC,airport,-15.466667,small
CSD,135.91667,AU,1,Cresswell Downs Airport,OC,airport,-17.966667,small
CTR,131,AU,1,Cattle Creek Airport,OC,airport,-17.583332,small
DYM,139.16667,AU,1,Diamantina Lakes Airport,OC,airport,-26.75,small
EDD,133.2,AU,1,Erldunda Airport,OC,airport,-25.25,small
EKD,135.55,AU,1,Elkedra Airport,OC,airport,-21.15,small
HAT,140.58333,AU,1,Heathlands Airport,OC,airport,-19.720833,small
HIG,143.15,AU,1,Highbury Airport,OC,airport,-16.416668,small
HIS,,AU,1,Hayman Island Resort Seaplane Base,OC,seaplanes,,
HLV,145.2,AU,1,Helenvale Airport,OC,airport,-15.683333,small
KBD,124.35,AU,1,Kimberley Downs Airport,OC,airport,-17.333332,small
KGR,133.03334,AU,1,Kulgera Airport,OC,airport,-25.833332,small
KOH,142.41667,AU,1,Koolatah Airport,OC,airport,-15.966667,small
KYF,120.075,AU,1,Yeelirrie Airport,OC,airport,-27.277779,small
LIB,129.8,AU,1,Limbunya Airport,OC,airport,-17.2,small
MNW,135.21666,AU,1,Macdonald Downs Airport,OC,airport,-22.45,small
MUP,141.05,AU,1,Mulga Park Airport,OC,airport,-31.133333,small
MWY,141.51666,AU,1,Miranda Downs Airport,OC,airport,-25.783333,small
MYO,124.26667,AU,1,Camballin Airport,OC,airport,-18.116667,small
NKB,124.85,AU,1,Noonkanbah Airport,OC,airport,-18.55,small
OKB,153.16667,AU,1,Orchid Beach Airport,OC,airport,-25.25,small
PEP,130.1,AU,1,Peppimenarti Airport,OC,airport,-14.15,small
RDA,135.16667,AU,1,Rockhampton Downs Airport,OC,airport,-18.95,small
SSK,128.13333,AU,1,Sturt Creek Airport,OC,airport,-19.2,small
SWB,119.36667,AU,1,Shaw River Airport,OC,airport,-21.516666,small
TPR,117.666664,AU,1,Tom Price Airport,OC,airport,-22.75,small
TWP,143.75,AU,1,Torwood Airport,OC,airport,-17.366667,small
WRW,120.71667,AU,1,Warrawagine Airport,OC,airport,-20.866667,small
WSY,148.75278,AU,1,Whitsunday Airstrip,OC,airport,-20.502777,small
ZVG,127.583336,AU,1,Springvale Airport,OC,airport,-17.866667,small
AUI,143.075,PG,1,Aua Island Airport,OC,airport,-1.458333,small
AUJ,142.85,PG,1,Ambunti Airport,OC,airport,-4.25,small
AUP,149.58333,PG,1,Agaun Airport,OC,airport,-9.983333,small
AUV,148.43333,PG,1,Aumo Airport,OC,airport,-5.716667,small
BUA,154.67288,PG,1,Buka Airport,OC,airport,-5.422443,medium
CMU,144.97444,PG,1,Chimbu Airport,OC,airport,-5.993889,medium
DAU,143.20605,PG,1,Daru Airport,OC,airport,-9.08351,medium
GKA,145.39293,PG,1,Goroka Airport,OC,airport,-6.075244,medium
GUR,150.33861,PG,1,Gurney Airport,OC,airport,-10.310833,medium
PNP,148.30873,PG,1,Girua Airport,OC,airport,-8.807474,medium
HKN,150.403,PG,1,Kimbe Airport,OC,airport,-5.456876,medium
LSA,151.025,PG,1,Losuia Airport,OC,airport,-8.363889,small
UNG,141.28601,PG,1,Kiunga Airport,OC,airport,-6.125552,small
KRI,144.26666,PG,1,Kikori Airport,OC,airport,-7.483333,small
KMA,145.77155,PG,1,Kerema Airport,OC,airport,-7.961702,medium
KVG,150.80653,PG,1,Kavieng Airport,OC,airport,-2.58075,medium
LNV,152.6272,PG,1,Londolovit Airport,OC,airport,-3.043223,small
MAG,145.78784,PG,1,Madang Airport,OC,airport,-5.210852,medium
HGU,144.29738,PG,1,Mount Hagen Kagamuga Airport,OC,airport,-5.828767,medium
MDU,143.65,PG,1,Mendi Airport,OC,airport,-6.158611,medium
MAS,147.42444,PG,1,Momote Airport,OC,airport,-2.056667,medium
MXH,143.25055,PG,1,Moro Airport,OC,airport,-6.3525,small
MIS,152.84166,PG,1,Misima Island Airport,OC,airport,-10.5,small
LAE,146.72757,PG,1,Lae Nadzab Airport,OC,airport,-6.562694,medium
POM,147.21446,PG,1,Port Moresby Jacksons International Airport,OC,airport,-9.444308,large
TIZ,142.94055,PG,1,Tari Airport,OC,airport,-5.860556,small
TBG,141.227,PG,1,Tabubil Airport,OC,airport,-5.274722,small
RAB,152.36667,PG,1,Tokua Airport,OC,airport,-4.333333,medium
AYU,145.9,PG,1,Aiyura Airport,OC,airport,-6.333333,small
VAI,141.30194,PG,1,Vanimo Airport,OC,airport,-2.694722,medium
WBM,143.91667,PG,1,Wapenamanda Airport,OC,airport,-5.616667,medium
WWK,143.66916,PG,1,Wewak International Airport,OC,airport,-3.580034,medium
AYY,,LK,1,Arugam Bay SPB,AS,seaplanes,,
AYZ,,US,,Zahn's Airport,NA,closed,,
AZB,148.81667,PG,1,Amazon Bay Airport,OC,airport,-10.15,small
BCW,35.425,MZ,1,Benguera Island Airport,AF,airport,-21.884722,medium
HKV,25.55,BG,1,Haskovo Airport,EU,airport,41.933334,small
JAM,26.483334,BG,1,Bezmer Air Base,EU,airport,42.516666,medium
SZR,,BG,,Stara Zagora Airport,EU,closed,,
JEG,-52.75,GL,1,Aasiaat Airport,NA,airport,68.7,medium
AAP,,GL,1,Aappilattoq (Qaasuitsup) Heliport,NA,heliport,,
AGM,,GL,1,Tasiilaq Heliport,NA,heliport,,
LLU,,GL,1,Alluitsup Paa Heliport,NA,heliport,,
QUV,,GL,1,Aappilattoq (Kujalleq) Heliport,NA,heliport,,
QUW,,GL,1,Ammassivik Heliport,NA,heliport,,
QGQ,,GL,1,Attu Heliport,NA,heliport,,
UAK,-45.316666,GL,1,Narsarsuaq Airport,NA,airport,61.166668,medium
JCH,,GL,1,Qasigiannguit Heliport,NA,heliport,,
CNP,-22.658333,GL,1,Neerlerit Inaat Airport,NA,airport,70.74306,small
QFG,,GL,1,Eqalugaarsuit Heliport,NA,heliport,,
QFN,,GL,1,Narsaq Kujalleq Heliport,NA,heliport,,
JFR,,GL,1,Paamiut Heliport,NA,heliport,,
