iata,lon,iso,status,name,continent,type,lat,size
GOB,39.980556,ET,1,Robe Airport,AF,airport,7.013889,small
GNN,40.716667,ET,1,Ghinnir Airport,AF,airport,7.15,small
GMB,34.583332,ET,1,Gambella Airport,AF,airport,8.283333,medium
GDQ,37.445557,ET,1,Gonder Airport,AF,airport,12.514444,medium
GDE,43.628334,ET,1,Gode Airport,AF,airport,5.902222,medium
GOR,35.538055,ET,1,Gore Airport,AF,airport,8.155556,small
QHR,,ET,1,Harar Meda Airport,AF,airport,,medium
HUE,36.583332,ET,1,Humera Airport,AF,airport,14.25,small
JIM,36.82111,ET,1,Jimma Airport,AF,airport,7.654444,medium
ABK,44.26611,ET,1,Kabri Dehar Airport,AF,airport,6.733889,small
LFO,44.333332,ET,1,Kelafo East Airport,AF,airport,5.666667,small
AWA,38.4875,ET,1,Awassa Airport,AF,airport,7.061111,small
LLI,39.066666,ET,1,Lalibella Airport,AF,airport,12.016667,small
MQX,39.52639,ET,1,Mekele Airport,AF,airport,13.468333,medium
NDM,35.083332,ET,1,Mendi Airport,AF,airport,9.816667,small
MTF,35.533333,ET,1,Mizan Teferi Airport,AF,airport,6.966667,small
NEJ,35.466667,ET,1,Nejjo Airport,AF,airport,9.5,small
NEK,36.5,ET,1,Nekemte Airport,AF,airport,9.066667,small
SXU,37.775,ET,1,Soddu Airport,AF,airport,6.836111,small
ASO,34.536667,ET,1,Asosa Airport,AF,airport,10.047222,medium
TIE,35.41528,ET,1,Tippi Airport,AF,airport,7.201111,small
WAC,37.166668,ET,1,Waca Airport,AF,airport,7.166667,small
BJM,29.366667,BI,1,Bujumbura International Airport,AF,airport,-3.383333,medium
GID,29.916668,BI,1,Gitega Airport,AF,airport,-3.416667,small
ALU,50.8,SO,1,Alula Airport,AF,airport,11.966667,small
BIB,43.63333,SO,1,Baidoa Airport,AF,airport,3.066667,small
CXN,49.916668,SO,1,Candala Airport,AF,airport,11.5,small
HCM,49.8,SO,1,Eil Airport,AF,airport,7.916667,small
BSA,49.15,SO,1,Bosaso Airport,AF,airport,11.283333,small
GSR,49.05,SO,1,Gardo Airport,AF,airport,9.5,small
HGA,44.091667,SO,1,Egal International Airport,AF,airport,9.515833,medium
BBO,45.00639,SO,1,Berbera Airport,AF,airport,10.419444,medium
KMU,42.461792,SO,1,Kisimayu Airport,AF,airport,-0.377185,medium
MGQ,45.31333,SO,1,Aden Adde International Airport,AF,airport,2.013333,medium
CMO,48.516666,SO,1,Obbia Airport,AF,airport,5.366667,small
GLK,47.433334,SO,1,Galcaio Airport,AF,airport,6.766667,small
CMS,50.233334,SO,1,Scusciuban Airport,AF,airport,10.3,small
ERA,47.4,SO,1,Erigavo Airport,AF,airport,10.616667,small
BUO,45.55417,SO,1,Burao Airport,AF,airport,9.5225,small
JIB,43.149677,DJ,1,Djibouti-Ambouli Airport,AF,airport,11.552361,medium
AII,42.716667,DJ,1,Ali-Sabieh Airport,AF,airport,11.15,small
MHI,43,DJ,1,Moucha Airport,AF,airport,11,small
OBC,43.266666,DJ,1,Obock Airport,AF,airport,11.983333,small
TDJ,42.9,DJ,1,Tadjoura Airport,AF,airport,11.783333,small
SEW,25.50645,EG,1,Siwa Oasis North Airport,AF,airport,29.33371,small
DBB,28.46139,EG,1,El Alamein International Airport,AF,airport,30.924444,medium
AAC,33.832287,EG,1,El Arish International Airport,AS,airport,31.076414,medium
ATZ,31,EG,1,Assiut International Airport,AF,airport,27.033333,medium
ALY,29.953058,EG,1,El Nouzha Airport,AF,airport,31.192545,medium
HBE,29.686504,EG,1,Borg El Arab International Airport,AF,airport,30.922234,medium
ABS,31.609774,EG,1,Abu Simbel Airport,AF,airport,22.367567,medium
CAI,31.40647,EG,1,Cairo International Airport,AF,airport,30.120106,large
CWE,,EG,1,Cairo West Airport,AF,airport,,medium
DAK,28.999166,EG,1,Dakhla Airport,AF,airport,25.414722,small
HRG,33.8055,EG,1,Hurghada International Airport,AF,airport,27.189156,large
EGH,,EG,1,El Gora Airport,AS,airport,,medium
UVL,30.590834,EG,1,El Kharga Airport,AF,airport,25.475,small
LXR,32.699684,EG,1,Luxor International Airport,AF,airport,25.67492,medium
RMF,34.592777,EG,1,Marsa Alam International Airport,AF,airport,25.555786,medium
HMB,31.737167,EG,1,Sohag International Airport,AF,airport,26.338877,medium
MUH,27.25,EG,1,Mersa Matruh Airport,AF,airport,31.35,medium
GSQ,28.716667,EG,1,Shark El Oweinat International Airport,AF,airport,22.583332,small
PSD,32.3,EG,1,Port Said Airport,AF,airport,31.266666,medium
SKV,34.0625,EG,1,St Catherine International Airport,AS,airport,28.685278,medium
SSH,34.385254,EG,1,Sharm El Sheikh International Airport,AS,airport,27.979357,medium
ASW,32.824818,EG,1,Aswan International Airport,AF,airport,23.968021,medium
TCP,34.916668,EG,1,Taba International Airport,AS,airport,29.55,medium
ELT,33.63333,EG,1,El Tor Airport,AS,airport,28.216667,small
HGI,,SS,1,Palogue Airport,AF,airport,,small
ASM,38.91028,ER,1,Asmara International Airport,AF,airport,15.291111,medium
MSW,39.441113,ER,1,Massawa International Airport,AF,airport,15.603333,medium
ASA,42.638332,ER,1,Assab International Airport,AF,airport,13.07,medium
TES,36.683334,ER,1,Tessenei Airport,AF,airport,15.116667,small
HIA,119.12778,CN,1,Lianshui Airport,AS,airport,33.7875,medium
HIL,44.766666,ET,1,Shilavo Airport,AF,airport,6.083333,small
ASV,37.25,KE,1,Amboseli Airport,AF,airport,-2.633333,medium
EDL,35.2236,KE,1,Eldoret International Airport,AF,airport,0.4054,medium
EYS,35.966667,KE,1,Eliye Springs Airport,AF,airport,3.25,small
KLK,25.783333,KE,1,Kalokol Airport,AF,airport,-6.783333,small
GAS,39.65,KE,1,Garissa Airport,AF,airport,-0.45,small
HOA,40,KE,1,Hola Airport,AF,airport,-1,small
NBO,36.92578,KE,1,Jomo Kenyatta International Airport,AF,airport,-1.319167,large
GGM,34.783333,KE,1,Kakamega Airport,AF,airport,0.266425,small
KIS,34.7375,KE,1,Kisumu Airport,AF,airport,-0.084946,medium
ILU,38.05,KE,1,Kilaguni Airport,AF,airport,-2.9,small
KEY,35.283333,KE,1,Kericho Airport,AF,airport,-0.366667,small
KTL,34.959248,KE,1,Kitale Airport,AF,airport,0.974111,medium
LKG,34.35,KE,1,Lokichoggio Airport,AF,airport,4.233333,medium
LOK,35.6,KE,1,Lodwar Airport,AF,airport,3.15,medium
LAU,40.911667,KE,1,Manda Airstrip,AF,airport,-2.25,medium
LOY,36.716667,KE,1,Loyengalani Airport,AF,airport,2.75,small
NDE,41.86667,KE,1,Mandera Airport,AF,airport,3.933333,small
RBT,37.983334,KE,1,Segel Airport,AF,airport,2.333333,small
MYD,40.10048,KE,1,Malindi Airport,AF,airport,-3.230755,medium
MBA,39.60325,KE,1,Mombasa Moi International Airport,AF,airport,-4.0327,large
MRE,35.05885,KE,1,Mara Serena Lodge Airstrip,AF,airport,-1.300368,medium
OYL,39.05,KE,1,Moyale Airport,AF,airport,3.533333,small
NYE,36.95,KE,1,Nyeri Airport,AF,airport,-0.416667,small
NUU,36.15,KE,1,Nakuru Airport,AF,airport,-0.3,small
WIL,36.813248,KE,1,Nairobi Wilson Airport,AF,airport,-1.318018,medium
NYK,37.066666,KE,1,Nanyuki Airport,AF,airport,0.016667,medium
UAS,37.55,KE,1,Samburu South Airport,AF,airport,0.466667,small
UKA,39.566666,KE,1,Ukunda Airstrip,AF,airport,-4.3,small
WJR,40.6,KE,1,Wajir Airport,AF,airport,1.766667,medium
SRX,16.612036,LY,1,Gardabya Airport,AF,airport,31.060917,medium
TOB,23.917221,LY,1,Gamal Abdel Nasser Airport,AF,airport,31.854168,small
GHT,10.166667,LY,1,Ghat Airport,AF,airport,24.966667,medium
AKF,23.333332,LY,1,Kufra Airport,AF,airport,24.2,medium
BEN,20.26489,LY,1,Benina International Airport,AF,airport,32.085423,medium
MJI,13.277778,LY,1,Mitiga Airport,AF,airport,32.89722,medium
LAQ,21.964167,LY,1,La Abraq Airport,AF,airport,32.788612,medium
SEB,14.4625,LY,1,Sabha Airport,AF,airport,27.016666,medium
TIP,13.144279,LY,1,Tripoli International Airport,AF,airport,32.66989,large
LMQ,19.579445,LY,1,Marsa Brega Airport,AF,airport,30.379444,medium
HUQ,15.5,LY,1,Hon Airport,AF,airport,29.5,small
LTD,9.509722,LY,1,Ghadames East Airport,AF,airport,30.129168,medium
WAX,-55.38333,LY,1,Zwara Airport,AF,airport,51.216667,small
GYI,29.25,RW,1,Gisenyi Airport,AF,airport,-1.683333,medium
BTQ,29.733334,RW,1,Butare Airport,AF,airport,-2.6,small
KGL,30.135014,RW,1,Kigali International Airport,AF,airport,-1.963042,medium
RHG,29.6,RW,1,Ruhengeri Airport,AF,airport,-1.5,small
KME,28.916668,RW,1,Kamembe Airport,AF,airport,-2.466667,medium
ATB,34.016666,SD,1,Atbara Airport,AF,airport,17.716667,small
EDB,30.833332,SD,1,El Debba Airport,AF,airport,18.283333,small
DOG,30.45,SD,1,Dongola Airport,AF,airport,19.183332,medium
ELF,25.316668,SD,1,El Fasher Airport,AF,airport,13.616667,medium
GSU,35.466667,SD,1,Azaza Airport,AF,airport,14.033333,small
DNX,33.066666,SD,1,Galegu Airport,AF,airport,14.1,small
EGN,22.469444,SD,1,Geneina Airport,AF,airport,13.4875,small
KSL,36.34222,SD,1,Kassala Airport,AF,airport,15.390278,medium
GBU,35.88889,SD,1,Khashm El Girba Airport,AF,airport,14.926389,small
KST,32.716667,SD,1,Kosti Airport,AF,airport,13.133333,small
KDX,,SD,1,Kadugli Airport,AF,airport,,small
MWE,31.833332,SD,1,Merowe Airport,AF,airport,18.45,small
NUD,28.416668,SD,1,En Nahud Airport,AF,airport,12.75,small
UYL,24.894722,SD,1,Nyala Airport,AF,airport,12.071667,small
NHF,35.733334,SD,1,New Halfa Airport,AF,airport,15.35,small
EBD,30.234167,SD,1,El Obeid Airport,AF,airport,13.159722,medium
PZU,37.21389,SD,1,Port Sudan New International Airport,AF,airport,19.577778,medium
JUB,31.601692,SS,1,Juba Airport,AF,airport,4.866198,medium
MAK,31.644444,SS,1,Malakal Airport,AF,airport,9.555556,medium
KRT,32.549698,SD,1,Khartoum International Airport,AF,airport,15.592217,large
WHF,31.5,SD,1,Wadi Halfa Airport,AF,airport,21.75,small
WUU,27.985277,SS,1,Wau Airport,AF,airport,7.746389,medium
ARK,36.683334,TZ,1,Arusha Airport,AF,airport,-3.366667,medium
BKZ,31.82253,TZ,1,Bukoba Airport,AF,airport,-1.331923,small
DAR,39.20211,TZ,1,Mwalimu Julius K. Nyerere International Airport,AF,airport,-6.873533,medium
DOD,35.75028,TZ,1,Dodoma Airport,AF,airport,-6.166667,medium
IRI,35.75028,TZ,1,Iringa Airport,AF,airport,-7.670556,medium
TKQ,29.67,TZ,1,Kigoma Airport,AF,airport,-4.885,small
KIY,39.511665,TZ,1,Kilwa Masoko Airport,AF,airport,-8.911944,small
JRO,37.065342,TZ,1,Kilimanjaro International Airport,AF,airport,-3.424123,medium
LDI,39.759445,TZ,1,Kikwetu Airport,AF,airport,-9.845833,small
LKY,35.82021,TZ,1,Lake Manyara Airport,AF,airport,-3.375889,medium
MFA,39.665,TZ,1,Mafia Island Airport,AF,airport,-7.913889,small
MBI,33.45886,TZ,1,Mbeya Airport,AF,airport,-8.916634,small
MWN,33.6,TZ,1,Mwadui Airport,AF,airport,-3.55,small
XMI,38.8,TZ,1,Masasi Airport,AF,airport,-10.716667,small
QSI,,TZ,1,Moshi Airport,AF,airport,,small
MYW,40.19361,TZ,1,Mtwara Airport,AF,airport,-10.338889,medium
MUZ,33.8,TZ,1,Musoma Airport,AF,airport,-1.497222,small
MWZ,32.923225,TZ,1,Mwanza Airport,AF,airport,-2.441221,medium
NCH,38.775,TZ,1,Nachingwea Airport,AF,airport,-10.363889,small
JOM,34.77139,TZ,1,Njombe Airport,AF,airport,-9.354444,small
PMA,39.81262,TZ,1,Pemba Airport,AF,airport,-5.258731,medium
SEU,34.821545,TZ,1,Seronera Airport,AF,airport,-2.4567,small
SGX,35.5775,TZ,1,Songea Airport,AF,airport,-10.686667,small
SUT,31.616667,TZ,1,Sumbawanga Airport,AF,airport,-7.966667,small
SHY,33.504486,TZ,1,Shinyanga Airport,AF,airport,-3.608185,small
TBO,32.8375,TZ,1,Tabora Airport,AF,airport,-5.0725,small
TGT,39.07028,TZ,1,Tanga Airport,AF,airport,-5.089444,medium
ZNZ,39.221184,TZ,1,Zanzibar Airport,AF,airport,-6.218466,medium
RUA,30.933332,UG,1,Arua Airport,AF,airport,3.033333,medium
EBB,32.443184,UG,1,Entebbe International Airport,AF,airport,0.045111,medium
ULU,32.3,UG,1,Gulu Airport,AF,airport,2.783333,medium
JIN,33.192223,UG,1,Jinja Airport,AF,airport,0.456389,small
KBG,31.500895,UG,1,Kabalega Falls Airport,AF,airport,2.329142,small
KSE,30.100834,UG,1,Kasese Airport,AF,airport,0.185556,small
MBQ,30.65,UG,1,Mbarara Airport,AF,airport,-0.616667,small
KCU,31.716667,UG,1,Masindi Airport,AF,airport,1.683333,small
SRT,33.61667,UG,1,Soroti Airport,AF,airport,1.7,medium
TRY,34.183334,UG,1,Tororo Airport,AF,airport,0.7,small
IBL,,MZ,1,Indigo Bay Lodge Airport,AF,airport,,medium
PPJ,103.3,ID,1,Pulau Panjang Airport,AS,airport,-0.633333,small
AAS,139.25,ID,1,Apalapsili Airport,AS,airport,-3.916667,small
AGD,133.86667,ID,1,Anggi Airport,AS,airport,-1.383333,small
AKQ,105.23333,ID,1,Gunung Batin Airport,AS,airport,-4.616667,small
AYW,132.5,ID,1,Ayawasi Airport,AS,airport,-1.2,small
BJG,122.1,ID,1,Boalang Airport,AS,airport,-0.95,small
BXM,140.85,ID,1,Batom Airport,AS,airport,-4.116667,small
DRH,138.56667,ID,1,Dabra Airport,AS,airport,-3.25,small
ELR,140.06667,ID,1,Elelim Airport,AS,airport,-3.816667,small
EWE,138.08333,ID,1,Ewer Airport,AS,airport,-5.483333,small
FOO,134.9,ID,1,Kornasoren Airfield,AS,airport,-1.05,small
GAV,130.88333,ID,1,Gag Island Airport,AS,airport,-26,small
IUL,138.16667,ID,1,Ilu Airport,AS,airport,-3.733333,small
KBF,138.45,ID,1,Karubaga Airport,AS,airport,-3.716667,small
KBX,132.25,ID,1,Kambuaya Airport,AS,airport,-1,small
KCD,138.71666,ID,1,Kamur Airport,AS,airport,-6.2,small
KCI,127.05,TL,1,Kon Airport,AS,airport,-8.35,small
KEA,140.03334,ID,1,Keisah Airport,AS,airport,-7.033333,small
KMM,136.16667,ID,1,Kiman Airport,AS,airport,-3.666667,small
KOD,116.583336,ID,1,Kotabangun Airport,AS,airport,-0.266667,small
KRC,101.25,ID,1,Kerinici airport,AS,airport,-1.716667,small
KWB,110.5,ID,1,Karimunjawa Airport,AS,airport,-5.833333,small
LLN,138.66667,ID,1,Kelila Airport,AS,airport,-3.75,small
LWE,124.4387,ID,1,Lewoleba Airport,AS,airport,-8.361607,small
LYK,117.26667,ID,1,Lunyuk Airport,AS,airport,-9,small
MJY,103.566666,ID,1,Mangunjaya Airport,AS,airport,-2.733333,small
MPT,125.25,ID,1,Maliana airport,AS,airport,-8.066667,small
MSI,114.433334,ID,1,Masalembo Airport,AS,airport,-5.583333,small
MUF,140.33333,ID,1,Muting Airport,AS,airport,-7.5,small
NAF,117.05,ID,1,Banaina Airport,AS,airport,2.75,small
NDA,129.9,ID,1,Bandanaira Airport,AS,airport,-4.533333,small
OBD,136.2,ID,1,Obano Airport,AS,airport,-3.9,small
PPJ,103.3,ID,1,Pulau Panjang Airport,AS,airport,-0.633333,small
PUM,121.61667,ID,1,Pomala Airport,AS,airport,-4.183333,small
PWL,109.15,ID,1,Purwokerto Airport,AS,airport,-7.466667,small
RAQ,122.583336,ID,1,Sugimanuru Airport,AS,airport,-4.916667,small
RKI,100.75,ID,1,Rokot Airport,AS,airport,-0.95,small
RTI,122.96667,ID,1,Roti Airport,AS,airport,-10.883333,small
RUF,140.93333,ID,1,Yuruf Airport,AS,airport,-3.633333,small
RZS,68.86667,ID,1,Sawan Airport,AS,airport,26.966667,small
SAE,-51.632145,ID,1,Sangir Airport,AS,airport,70.811455,small
TBM,112.583336,ID,1,Tumbang Samba Airport,AS,airport,-3.25,small
TMY,138.41667,ID,1,Tiom Airport,AS,airport,-3.95,small
ZEG,139.36667,ID,1,Senggo Airport,AS,airport,-5.983333,small
ZGP,,ID,1,Zugapa Airport,AS,airport,,medium
IOR,-9.75,IE,1,Kilronan Airport,EU,airport,53.11667,small
CHE,-10.233333,IE,1,Reeroe Airport,EU,airport,51.933334,small
VDY,,IN,1,Vijayanagar Aerodrome (JSW),AS,airport,,small
JGB,82.03333,IN,1,Jagdalpur Airport,AS,airport,19.066668,small
NVY,79.433334,IN,1,Neyveli Airport,AS,airport,11.6,small
RJI,74.3025,IN,1,Rajouri Airport,AS,airport,33.36861,small
TEI,96.13333,IN,1,Tezu Airport,AS,airport,27.95,small
KHA,45.15,IR,1,Khaneh Airport,AS,airport,36.733334,small
GSM,55.905277,IR,1,Gheshm Airport,AS,airport,26.757778,small
TQR,,IT,1,San Domino Island Heliport,EU,heliport,,
JGD,124.11667,CN,1,Jiagedaqi Airport,AS,airport,50.370556,medium
JIC,102.34861,CN,1,Jinchuan Airport,AS,airport,38.541943,small
JIQ,108.829185,CN,1,Qianjiang Wulingshan Airport,AS,airport,29.517557,medium
JMC,,US,1,Commodore Center Heliport,NA,heliport,,
JRA,,US,1,West 30th St. Heliport,NA,heliport,,
ABR,-98.42611,US,1,Aberdeen Regional Airport,NA,airport,45.4525,medium
ABY,-84.19611,US,1,Southwest Georgia Regional Airport,NA,airport,31.532223,medium
ACB,-85.21667,US,1,Antrim County Airport,NA,airport,44.983334,small
ACK,-70.05972,US,1,Nantucket Memorial Airport,NA,airport,41.256668,medium
ACT,-97.22321,US,1,Waco Regional Airport,NA,airport,31.609133,medium
ACV,-124.106926,US,1,Arcata Airport,NA,airport,40.970913,medium
ACY,-74.572235,US,1,Atlantic City International Airport,NA,airport,39.450703,medium
ADG,-84.03333,US,1,Lenawee County Airport,NA,airport,41.9,small
ADK,-176.64473,US,1,Adak Airport,NA,airport,51.88278,medium
ADM,-97.01945,US,1,Ardmore Municipal Airport,NA,airport,34.303055,small
ADQ,-152.51297,US,1,Kodiak Airport,NA,airport,57.755276,medium
ADR,-79.566666,US,1,Robert F Swinnie Airport,NA,airport,33.45,small
ADS,-97.83639,US,1,Addison Airport,NA,airport,32.968613,small
ADT,-96.666664,US,1,Ada Municipal Airport,NA,airport,34.8,small
ADW,-76.86667,US,1,Andrews Air Force Base,NA,airport,38.816666,large
AEL,-93.36667,US,1,Albert Lea Municipal Airport,NA,airport,43.65,small
AET,-152.65834,US,1,Allakaket Airport,NA,airport,66.56167,small
AEX,-92.53958,US,1,Alexandria International Airport,NA,airport,31.321268,medium
AFE,,US,1,Kake Airport,NA,airport,,medium
AFF,-104.7,US,1,USAF Academy Airfield,NA,airport,38.833332,small
AFN,-72.066666,US,1,Jaffrey Airport Silver Ranch Airport,NA,airport,42.833332,small
AFO,-110.933334,US,1,Afton Municipal Airport,NA,airport,42.733334,small
AFW,-97.316666,US,1,Fort Worth Alliance Airport,NA,airport,32.986668,large
AGC,-79.93,US,1,Allegheny County Airport,NA,airport,40.35472,medium
AGO,-93.23333,US,1,Magnolia Municipal Airport,NA,airport,33.266666,small
AGS,-81.973434,US,1,Augusta Regional At Bush Field,NA,airport,33.373665,large
AHC,-120.13333,US,1,Amedee Army Air Field,NA,airport,40.15,small
AHD,-97.13333,US,1,Ardmore Downtown Executive Airport,NA,airport,34.166668,small
AHF,-99.9,US,1,Arapahoe Municipal Airport,NA,airport,40.3,small
KAE,,US,1,Kake Seaplane Base,NA,seaplanes,,
AHH,-92.35,US,1,Amery Municipal Airport,NA,airport,45.3,small
AHM,,US,1,Ashland Municipal Sumner Parker Field,NA,airport,,small
AHN,-83.32472,US,1,Athens Ben Epps Airport,NA,airport,33.95195,medium
AIA,-102.80666,US,1,Alliance Municipal Airport,NA,airport,42.051666,small
AID,-85.683334,US,1,Anderson Municipal Darlington Field,NA,airport,40.166668,small
AIK,-81.68407,US,1,Aiken Municipal Airport,NA,airport,33.649014,small
AIN,-160.03334,US,1,Wainwright Airport,NA,airport,70.63333,medium
AIO,-95.01667,US,1,Atlantic Municipal Airport,NA,airport,41.4,small
AIV,-88.15,US,1,George Downer Airport,NA,airport,33.13333,small
AIZ,-92.54722,US,1,Lee C Fine Memorial Airport,NA,airport,38.09833,small
AKB,-174.20084,US,1,Atka Airport,NA,airport,52.21722,small
AKC,-81.46778,US,1,Akron Fulton International Airport,NA,airport,41.04,medium
AKI,-161.22333,US,1,Akiak Airport,NA,airport,60.905556,small
AKK,-154.16667,US,1,Akhiok Airport,NA,airport,56.944443,small
AKN,-156.66902,US,1,King Salmon Airport,NA,airport,58.68274,medium
AKO,-103.21667,US,1,Colorado Plains Regional Airport,NA,airport,40.166668,small
AKP,-151.74,US,1,Anaktuvuk Pass Airport,NA,airport,68.1375,medium
AKW,49.683334,US,1,Klawock Airport,NA,airport,30.75,medium
AIY,,US,,Atlantic City Municipal Bader Field,NA,closed,,
ALB,-73.809555,US,1,Albany International Airport,NA,airport,42.745277,medium
ALE,-103.75,US,1,Alpine Casparis Municipal Airport,NA,airport,30.416668,small
ALI,-98.066666,US,1,Alice International Airport,NA,airport,27.75,medium
ALM,-105.985275,US,1,Alamogordo White Sands Regional Airport,NA,airport,32.845833,medium
ALN,-90.04833,US,1,St Louis Regional Airport,NA,airport,38.891666,medium
ALO,-92.39972,US,1,Waterloo Regional Airport,NA,airport,42.55611,medium
ALS,-105.86667,US,1,San Luis Valley Regional Bergman Field,NA,airport,37.43667,medium
ALW,-118.291115,US,1,Walla Walla Regional Airport,NA,airport,46.094723,medium
ALX,-85.95,US,1,Thomas C Russell Field,NA,airport,32.933334,small
AMA,-101.70513,US,1,Rick Husband Amarillo International Airport,NA,airport,35.218273,large
AMK,-107.75,US,1,Animas Air Park,NA,airport,37.15,small
AMN,-84.65,US,1,RPD Airport,NA,airport,43.38333,small
AMW,-93.61833,US,1,Ames Municipal Airport,NA,airport,41.994167,small
ANB,-85.855835,US,1,Anniston Metropolitan Airport,NA,airport,33.59028,medium
ANC,-149.99638,US,1,Ted Stevens Anchorage International Airport,NA,airport,61.174442,large
AND,-82.71,US,1,Anderson Regional Airport,NA,airport,34.49361,medium
ANI,-159.53697,US,1,Aniak Airport,NA,airport,61.574398,medium
ANN,-131.57056,US,1,Annette Island Airport,NA,airport,55.036945,medium
ANP,-76.5,US,1,Lee Airport,NA,airport,38.983334,small
ANQ,-85,US,1,Tri State Steuben County Airport,NA,airport,41.63333,small
ANV,-160.18889,US,1,Anvik Airport,NA,airport,62.647778,medium
ANW,-99.86667,US,1,Ainsworth Municipal Airport,NA,airport,42.55,small
ANY,-98.03333,US,1,Anthony Municipal Airport,NA,airport,37.15,small
AOH,-84.1,US,1,Lima Allen County Airport,NA,airport,40.766666,small
AOO,-78.32,US,1,Altoona Blair County Airport,NA,airport,40.297222,medium
APA,-104.84872,US,1,Centennial Airport,NA,airport,39.572124,medium
APC,-122.28,US,1,Napa County Airport,NA,airport,38.212223,small
APF,-81.775276,US,1,Naples Municipal Airport,NA,airport,26.152779,medium
APG,-76.166664,US,1,Phillips Army Air Field,NA,airport,39.5,medium
APH,-77.35,US,1,A P Hill Aaf (Fort A P Hill) Airport,NA,airport,38.05,small
APN,-83.55583,US,1,Alpena County Regional Airport,NA,airport,45.08167,medium
APT,-85.5,US,1,Marion County Brown Field,NA,airport,35.066666,small
APV,-117.212776,US,1,Apple Valley Airport,NA,airport,34.52639,small
AQY,-149.11667,US,1,Girdwood Airport,NA,airport,60.966667,small
ARA,-91.88389,US,1,Acadiana Regional Airport,NA,airport,30.037779,medium
ARB,-83.75,US,1,Ann Arbor Municipal Airport,NA,airport,42.3,small
ARC,-145.52444,US,1,Arctic Village Airport,NA,airport,68.1375,medium
ARG,-90.95,US,1,Walnut Ridge Regional Airport,NA,airport,36.066666,small
ART,-76.021385,US,1,Watertown International Airport,NA,airport,43.990833,medium
ATK,-157.33333,US,1,Atqasuk Edward Burnell Sr Memorial Airport,NA,airport,70.5,medium
ATL,-84.44403,US,1,Hartsfield Jackson Atlanta International Airport,NA,airport,33.640068,large
ATW,-88.50994,US,1,Outagamie County Regional Airport,NA,airport,44.26011,small
ATY,-97.15417,US,1,Watertown Regional Airport,NA,airport,44.90889,medium
AUG,-69.79667,US,1,Augusta State Airport,NA,airport,44.318054,medium
AUS,-97.66706,US,1,Austin Bergstrom International Airport,NA,airport,30.202545,large
AVL,-82.537315,US,1,Asheville Regional Airport,NA,airport,35.43508,large
AVO,-81.51667,US,1,Avon Park Executive Airport,NA,airport,27.6,small
AYE,,US,,Ft Devens Moore Army Air Field,NA,closed,,
AVP,-75.730644,US,1,Wilkes Barre Scranton International Airport,NA,airport,41.336697,medium
AWM,-90.183334,US,1,West Memphis Municipal Airport,NA,airport,35.13333,small
AXN,-95.394165,US,1,Chandler Field,NA,airport,45.86722,medium
AXS,-99.33806,US,1,Altus Quartz Mountain Regional Airport,NA,airport,34.696667,small
AXV,-84.2,US,1,Neil Armstrong Airport,NA,airport,40.566666,small
AXX,-105.28333,US,1,Angel Fire Airport,NA,airport,36.416668,small
AYS,-82.39667,US,1,Waycross Ware County Airport,NA,airport,31.248611,small
AZA,-111.655556,US,1,Phoenix-Mesa-Gateway Airport,NA,airport,33.307777,medium
AZO,-85.55656,US,1,Kalamazoo Battle Creek International Airport,NA,airport,42.239964,medium
BAB,-121.583336,US,1,Beale Air Force Base,NA,airport,39.15,large
BAD,-93.666664,US,1,Barksdale Air Force Base,NA,airport,32.5,large
BAF,-72.71562,US,1,Barnes Municipal Airport,NA,airport,42.157955,medium
BDL,-72.6847,US,1,Bradley International Airport,NA,airport,41.92953,large
BDR,-73.12444,US,1,Igor I Sikorsky Memorial Airport,NA,airport,41.164165,medium
BED,-71.29,US,1,Laurence G Hanscom Field,NA,airport,42.470833,medium
BET,-161.83139,US,1,Bethel Airport,NA,airport,60.784443,medium
BFD,-78.63944,US,1,Bradford Regional Airport,NA,airport,41.802223,medium
BFF,-103.60111,US,1,Western Neb. Rgnl/William B. Heilig Airport,NA,airport,41.87528,medium
BFI,-122.3037,US,1,Boeing Field King County International Airport,NA,airport,47.5371,large
BFL,-119.04533,US,1,Meadows Field,NA,airport,35.429626,medium
BGM,-75.98294,US,1,Greater Binghamton/Edwin A Link field,NA,airport,42.208534,medium
BGR,-68.82102,US,1,Bangor International Airport,NA,airport,44.812298,large
BGT,-113.1687,US,1,Bagdad Airport,NA,airport,34.59398,small
BHB,-68.361664,US,1,Hancock County-Bar Harbor Airport,NA,airport,44.44889,medium
BHM,-86.75219,US,1,Birmingham-Shuttlesworth International Airport,NA,airport,33.560833,large
BIG,-145.719,US,1,Allen Army Airfield,NA,airport,63.99458,medium
BIL,-108.53723,US,1,Billings Logan International Airport,NA,airport,45.803417,large
BIS,-100.75821,US,1,Bismarck Municipal Airport,NA,airport,46.77448,medium
BKC,-161.12666,US,1,Buckland Airport,NA,airport,65.97889,medium
BKH,-159.71666,US,1,Barking Sands Airport,NA,airport,21.966667,medium
BKL,-81.683334,US,1,Burke Lakefront Airport,NA,airport,41.516945,medium
BKW,-81.12417,US,1,Raleigh County Memorial Airport,NA,airport,37.781944,medium
BKX,-96.81111,US,1,Brookings Regional Airport,NA,airport,44.303333,small
BLD,-114.85936,US,1,Boulder City Municipal Airport,NA,airport,35.947018,small
BLF,-81.20805,US,1,Mercer County Airport,NA,airport,37.295834,medium
